effect,group,term,estimate,std.error,statistic,t_value,Marginal_R2,Conditional_R2
fixed,NA,(Intercept),18.01197216876594,8.235640800065479,2.187075979397102,2.187075979397102,0.05288057980552719,0.07604409578795857
fixed,NA,mean_giantkelp_density_m2,-0.7290104449547221,2.079731932335893,-0.3505309668135543,-0.3505309668135543,0.05288057980552719,0.07604409578795857
fixed,NA,mean_sst_C,0.21455191915440738,2.2998139651739113,0.09329098892491637,0.09329098892491637,0.05288057980552719,0.07604409578795857
fixed,NA,mean_chl_mg_m3,-3.25956118083928,2.780903821222847,-1.1721229464908114,-1.1721229464908114,0.05288057980552719,0.07604409578795857
fixed,NA,mean_CCA_cover,-0.8830515782682626,2.13737254448252,-0.41314818071739506,-0.41314818071739506,0.05288057980552719,0.07604409578795857
fixed,NA,mean_Relief_index,2.2445315009511777,2.926014001745437,0.767095270088339,0.767095270088339,0.05288057980552719,0.07604409578795857
fixed,NA,mean_Relief_SD,-1.4265586531018877,2.8429903917270107,-0.5017810321319118,-0.5017810321319118,0.05288057980552719,0.07604409578795857
fixed,NA,mean_Substrate_index,3.9556876993406815,2.770364658789158,1.4278581293588952,1.4278581293588952,0.05288057980552719,0.07604409578795857
fixed,NA,mean_Substrate_SD,8.737478110611523,2.6204890962394987,3.3342928704226,3.3342928704226,0.05288057980552719,0.07604409578795857
fixed,NA,dist_200m_bath,7.744018788044896,2.4750627756372423,3.128817121032852,3.128817121032852,0.05288057980552719,0.07604409578795857
fixed,NA,mean_surveydepth,4.184377665742362,2.293454564611452,1.8244868375891559,1.8244868375891559,0.05288057980552719,0.07604409578795857
fixed,NA,Reef_TypeNatural Reef,-4.475059430695148,7.6349777182047225,-0.5861260629516817,-0.5861260629516817,0.05288057980552719,0.07604409578795857
fixed,NA,exposure_index_scaled,-8.149872661668997,10.462862575901886,-0.7789333561964029,-0.7789333561964029,0.05288057980552719,0.07604409578795857
fixed,NA,BenthicReefSpeciesLeptogorgia chilensis,-5.44626794939449,4.7728646681923586,-1.1410899591789958,-1.1410899591789958,0.05288057980552719,0.07604409578795857
fixed,NA,BenthicReefSpeciesMuricea californica,9.566691679658778,4.7796398412946255,2.0015507438459044,2.0015507438459044,0.05288057980552719,0.07604409578795857
fixed,NA,BenthicReefSpeciesMuricea fruticosa,-7.841424337602524,4.960163842080103,-1.580880105426947,-1.580880105426947,0.05288057980552719,0.07604409578795857
ran_pars,Site,sd__(Intercept),8.997773488003947,NA,NA,NA,0.05288057980552719,0.07604409578795857
ran_pars,Residual,sd__Observation,56.82748522278251,NA,NA,NA,0.05288057980552719,0.07604409578795857
